事件ID,date,DPatentN,year,CAR,prov,Lev,lagROA,Cashflow,Growth,Indep,Age,R_D,HIPP,HF,CTO,Dealval,MajorMA,Relevance,DPatent,D_MA,Tar_Patent,Acq_Patent,DPAT_rate,MKT,ind2,CAR5,CAR10,CAR60,CAR90,CAR180,rank,eps,lageps,lag2eps,lag3eps,fweps,fw2eps,fw3eps,fwROA,LagLev,LagCashflow,LagGrowth,LagIndep,LagAge,LagR_D,LagMKT,LagAcq_Patent,Tar_Patent_limit,DPatent_limit,DPatent_ipc,Tar_Patent_ipc,indCAR3,Tar_Patent2,DPatent2,Tar_Patent3,DPatent3,Tar_Patent4,DPatent4,Tar_Patent5,DPatent5,dmanu,dserv,smanu,tmanu,tchem,AI,Security,Cloud,Big_Data,E_Chip,Commu_Network,DPatent_w,Tar_Patent_w,Tar_Patent_w2,DPatent_w2,Tar_Patent_w3,DPatent_w3,Tar_Patent_w4,DPatent_w4,Tar_Patent_w5,DPatent_w5,Tar_Patent_w_lim,DPatent_w_lim,DPatent_w_ipc,Tar_Patent_w_ipc,AI_w,Security_w,Cloud_w,Big_Data_w,E_Chip_w,Commu_Network_w
200000055203.0,2019-04-10,17.0,2019.0,0.17117555,广东省,0.47796595,-0.069716,-0.15180428,1.64685,0.33333334,3.4965076,0.0476,1.0,1.0,0.0,20.970907,1.0,1.0,2.8903718,1.0,2.3978953,4.2195077,0.6296296,14.112757,C27,0.09456947,0.14063223,0.22914799,0.23924325,0.41557154,1.0,-0.0218,-0.2574,0.0702,0.4729,0.3756,-3.26,,0.039647,0.47796595,-0.15180428,1.64685,0.33333334,3.4965076,0.0372,14.446463,0.6931472,2.3978953,2.8903718,1.0986123,3.2580965,0.17091294,2.3978953,2.8903718,2.5649493,2.8903718,2.5649493,2.8903718,2.5649493,2.8903718,0.0,0.0,0.0,0.0,,0.6931472,2.0794415,1.0986123,2.0794415,0.0,0.0,2.8903718,2.3978953,2.3978953,2.8903718,2.5649493,2.8903718,2.5649493,2.8903718,2.5649493,2.8903718,2.3978953,2.8903718,1.0986123,3.2580965,0.6931472,2.0794415,1.0986123,2.0794415,0.0,0.0
200000023727.0,2014-09-19,2.0,2014.0,0.30812377,广东省,0.10060482,0.036693,0.106570445,-0.081551,0.42857143,3.218876,0.0,1.0,0.0,0.0,21.311052,1.0,0.0,1.0986123,1.0,2.4849067,0.0,0.15384616,14.820696,H61,0.4690171,0.6021617,0.7216937,0.7631589,1.6946745,1.0,0.0788,0.0256,0.075,0.2578,0.1889,0.3157,0.1229,0.064758,0.10060482,0.106570445,-0.081551,0.42857143,3.218876,,14.303369,0.0,,,1.0986123,2.4849067,0.30622324,3.1354942,1.0986123,3.218876,1.3862944,3.4339871,2.4849067,3.4339871,2.4849067,0.0,0.0,,1.0,,0.0,0.0,0.0,0.0,0.0,1.0986123,1.0986123,2.4849067,3.1354942,1.0986123,3.218876,1.3862944,3.4339871,2.4849067,3.4339871,2.4849067,,,1.0986123,2.4849067,0.0,0.0,0.0,0.0,0.0,1.0986123
200000031400.0,2015-06-13,0.0,2015.0,0.2634602,北京市,0.11227616,0.011942,0.101921655,0.008977,0.42857143,3.2580965,0.0,0.0,0.0,0.0,21.038044,1.0,1.0,0.0,0.0,0.0,4.1108737,0.0,15.718596,H61,0.3012958,0.4825927,0.38645253,0.5680245,0.25109476,2.0,0.1889,0.0788,0.0256,0.075,0.3157,0.1229,0.1645,0.08331,0.11227616,0.101921655,0.008977,0.42857143,3.2580965,,14.820697,0.0,0.0,0.0,0.0,0.0,0.26628664,0.0,1.3862944,0.0,1.7917595,0.0,1.9459101,1.0986123,1.9459101,0.0,0.0,,1.0,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.3862944,0.0,1.7917595,0.0,1.9459101,1.0986123,1.9459101,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
200000031401.0,2015-06-13,1.0,2015.0,0.2634602,北京市,0.11227616,0.011942,0.101921655,0.008977,0.42857143,3.2580965,0.0,0.0,0.0,0.0,20.542942,1.0,1.0,0.6931472,1.0,0.0,4.1108737,1.0,15.718596,H61,0.3012958,0.4825927,0.38645253,0.5680245,0.25109476,1.0,0.1889,0.0788,0.0256,0.075,0.3157,0.1229,0.1645,0.08331,0.11227616,0.101921655,0.008977,0.42857143,3.2580965,,14.820697,0.0,0.0,0.6931472,0.6931472,0.0,0.26628664,0.0,0.6931472,0.0,0.6931472,0.0,1.0986123,0.0,1.3862944,0.0,0.0,,1.0,,0.0,0.0,0.0,0.0,0.0,0.6931472,0.6931472,0.0,0.0,0.6931472,0.0,0.6931472,0.0,1.0986123,0.0,1.3862944,0.0,0.6931472,0.6931472,0.0,0.0,0.0,0.0,0.0,0.0,0.6931472
200000046733.0,2017-09-19,0.0,2017.0,0.10291088,北京市,0.24658309,0.09006,-0.0068508387,0.448569,0.42857143,3.3322046,0.0729,0.0,1.0,0.0,20.645948,0.0,0.0,0.0,0.0,0.0,3.8066626,0.0,17.08053,C37,0.09004528,0.1486125,0.17019066,0.125237,-0.39646974,1.0,0.1229,0.3157,0.1889,0.0788,0.1645,-0.3208,-0.4958,0.037977,0.24658309,-0.0068508387,0.448569,0.42857143,3.3322046,0.0724,17.161304,3.1780539,0.0,0.0,0.0,0.0,0.08994307,0.0,0.0,1.0986123,1.0986123,1.0986123,1.0986123,1.0986123,1.0986123,0.0,0.0,0.0,1.0,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0986123,1.0986123,1.0986123,1.0986123,1.0986123,1.0986123,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
200000058453.0,2019-05-06,0.0,2019.0,-0.04088468,北京市,0.29250968,0.032338,-0.056425452,0.100376,0.33333334,3.4011974,0.0947,0.0,1.0,0.0,18.968801,0.0,0.0,0.0,0.0,0.0,4.356709,0.0,16.210064,C37,-0.050158907,-0.049883883,-0.021171035,0.03424018,0.20170446,1.0,0.1645,0.1229,0.3157,0.1889,-0.3208,-0.4958,,-0.069531,0.29250968,-0.056425452,0.100376,0.33333334,3.4011974,0.0882,17.020708,3.4339871,0.0,0.0,0.0,0.0,-0.027759077,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
200000022910.0,2014-08-15,0.0,2014.0,0.27983224,广东省,0.62879777,0.033166,0.005908069,0.032409,0.375,3.1780539,0.0,1.0,0.0,0.0,20.399807,0.0,1.0,0.0,0.0,3.2580965,4.4426513,0.0,16.288153,S90,0.37423196,0.44714752,0.21390902,-0.023971898,-0.1448424,1.0,0.6067,0.3139,0.3541,0.2817,0.1952,0.1504,0.3094,0.0194,0.62879777,0.005908069,0.032409,0.375,3.1780539,0.0129,16.07713,4.1108737,,,0.0,3.2580965,0.09455154,3.7612002,0.0,4.0430512,0.6931472,4.189655,0.6931472,4.394449,0.6931472,0.0,0.0,,1.0,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.2012637,2.674231,0.0,2.9445229,0.27873492,3.0862448,0.27873492,3.2852836,0.27873492,,,0.0,2.2012637,0.0,0.0,0.0,0.0,0.0,0.0
200000031004.0,2015-05-19,0.0,2015.0,0.27866402,北京市,0.31412843,-0.082225,-0.15007031,-0.364488,0.4,3.295837,0.0,0.0,1.0,0.0,21.230083,1.0,1.0,0.0,0.0,0.0,0.0,0.0,15.286081,C35,0.3334102,0.6262113,0.67697656,0.5766636,1.1226904,1.0,0.0244,-0.1281,0.0065,0.0244,0.0475,-1.2807,-0.8861,0.008022,0.31412843,-0.15007031,-0.364488,0.4,3.295837,,15.321918,0.0,0.0,0.0,0.0,0.0,0.2128053,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,,,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
200000042489.0,2017-01-24,0.0,2017.0,0.017388787,广东省,0.54472095,0.007765,-0.016691735,0.100431,0.36363637,3.3672957,0.0,1.0,1.0,0.0,17.727533,0.0,0.0,0.0,0.0,0.0,0.0,0.0,15.656803,E48,0.04097111,-0.0914971,-0.16889124,-0.35047263,-0.06468916,1.0,-1.2807,0.0475,0.0244,-0.1281,-0.8861,0.1538,0.0931,-0.221953,0.54472095,-0.016691735,0.100431,0.36363637,3.3672957,,15.929418,0.0,0.0,0.0,0.0,0.0,0.019590039,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,0.0,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
200000048224.0,2017-12-16,0.0,2017.0,0.05161277,广东省,0.54472095,0.007765,-0.016691735,0.100431,0.36363637,3.3672957,0.0,1.0,1.0,0.0,19.677408,0.0,0.0,0.0,0.0,0.0,0.0,0.0,15.656803,E48,0.04984426,0.07337087,0.05009861,-0.080540076,0.7299914,1.0,-0.8861,-1.2807,0.0475,0.0244,0.1538,0.0931,0.0479,0.029389,0.54472095,-0.016691735,0.100431,0.36363637,3.3672957,,15.929418,0.0,,,0.0,0.0,0.06162494,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,0.0,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
